Question,,Answer,Changed answer,answer_start,Context_index
Are session pre-class quizzes graded?,Grading,No. Pre-class quiz is to just check your understanding of the reading. It will not count towards your grade.,pre class quizzes will not be graded,322,0
When is the deadline for the submission of session quiz/exercise?,Deadlines,5 PM on the day of the following lecture.,before five pm on the day of the following lecture,97,1
Will there be any extension allowed for the quiz and exercise submission?,Deadlines,Only for exceptional cases.,Extensions will be allowed only in exceptional cases,149,1
How many hours will I need to dedicate to successfully complete this module?,General,About 15 hours per week.,about fifteen hours a week,26,2
Who will grade my exercise?,Grading,The exercises are auto-graded once you click the submit button.,they are auto graded by the edstem platform,456,0
"I have a different approach to the exercise, why is the auto-grader still failing me?",Grading,"Unfortunately, the auto-grader does not accept alternative solutions. Please follow the prescribed instructions.",the auto grader does not accept alternative solutions please follow the instructions,605,0
Do we do the exercises individually or as a group?,Exercises,Individually but you can work with your peers in the breakout room.,Exercises have to be done individually but can be discussed in breakout rooms,0,3
Are labs compulsory?,Course mate,"Labs are not compulsory, and will mostly review previously covered material. Additionally, we will discuss the homework and make you code.",Labs are not graded ,0,4
Are all the sessions recorded?,Course mate,Yes all sessions will be recorded.,All sessions will be recorded,87,4
Do I have access to the video recorded materials?,Course mate,Yes. All AI-1 students have access to live-streaming and to all the video captured materials.,students have access to all the captured video materials,156,4
Where do I find the recording?,Course mate,Recording links will be posted on edStem.,recording links will be posted on edstem,237,4
Are office hours recorded?,Course mate,"Yes, office hours will not be recorded.",Office hours will not be recorded,326,4
Where do I pose questions regarding reading material?,Course mate,Edstem forums under the 'Lectures' category.,reading material can be found on edstem forums under the ‘Lectures’ category,421,4
When will the reading be published?,Course mate,After every lab we will post the reading for the next session.,reading for the next session will be posted after every lab,503,4
Where do I find the course lectures and materials?,course mate,All material is available on edStem.,the material is available on edstem,568,4
Do we have homework and exercises?,Exercises,Yes. Each session has exercise and there is a homework after each week.,each session has an exercise and there is a homework after each week,100,3
Where do I find the homework?,Exercises,All homework assignments will be posted on edStem in the lessons tab.,homework can be found on edstem in the lessons tab,174,3
Where do I submit my homework assignment?,Excercises,You and your partner are required to submit the homework in the edStem lessons tab.,you and your partner have to submit the homework in the edstem lessons tab.,269,3
When will homework be released?,Excercises,The homework release is subject to change and hence will be announced during the session.,the homework release and will be announced during the session,373,3
Will the professor be present during the Office Hours?,General,"No, your TAs will take the office hours.",TAs take the office hour,59,2
What is the zoom the link for OH?,General,Please check the course information slide for zoom links,check the course information slide for zoom links,92,2
What are we going to do in projects?,Exercises,"A significant part of this course is a group project. You will work in teams of four on a project about a topic of your choosing from those proposed in the class. You will acquire the data, design, and implement your application using the tools and techniques learned during the course.",You will work on a project in groups of four on a topic of your choice based on what you learnt in the course,436,3
Will there be any extension in the project deadline?,Deadlines,"No. However, exceptional cases may be considered for project deadline only.",Exceptional cases may be considered,203,1
How many presentations will we have to do during course?,Excercises,One for the final project at the end of the module.,A presentation is to be made at the end of the module,547,3
Do we need to submit anything for the presentations?,Excercises,"Yes, a 5 minute video along with the slides and a  jupyter notebook with the code.",A five minute video along with the slides and a jupyter notebook with the code is to be submitted,602,3
How long should presentation video be?,Excercises,5 minutes.,five minutes long ,730,3
Is presentation a group activity?,Excercises,Yes. 4 of you together.,in groups of four,803,3
Can I share the solutions with classmates?,Excercises,Sharing solutions outside your team members is a violation of our code conduct.,Do not share your code with others as it is in violation of our code of conduct,822,3
Is attendance graded?,Grading,A small component of grading is allocated to class attendance. Please check the grading policy for more information.,Attendance is graded,735,0
What is the link for the slack channel?,General,All official communication by Prof. Protopapas will be made on edStem forums.,official announcements will be posted on edstem,147,2
Is there a slack channel?,General,All official communication by Prof. Protopapas will be made on edStem forums.,official communication by Prof. Protopapas will be made on edstem,200,2
My homework partner is not responding.,General,Please post a private message on edStem.,post a private message on edstem if your homework partner is not responding,274,2
"I don't have a homework partner, please help.",General,Please post a private message on edStem.,private message us on edstem with your details,389,2
